judul,imdb_rating,metascore,votes
Star Wars: Episode IX - The Rise of Skywalker,6.7,53        ,319569
The Mandalorian,8.7,,167214
After Life,8.5,,67224
Dead to Me,8.1,,37344
Once Upon a Time... in Hollywood,7.7,,462631
The Gentlemen,7.9,51        ,130509
Parasite,8.6,,402351
Bad Education,7.2,,12324
The Lodge,6.1,,12147
The Platform,7.0,,118011
Knives Out,7.9,,298964
1917,8.3,,305932
Avengers: Endgame,8.4,,714877
Joker,8.5,59        ,784313
Reckoning,6.5,,559
What We Do in the Shadows,8.4,,22406
The Witcher,8.3,,252564
Jojo Rabbit,7.9,58        ,211112
Chernobyl,9.4,,460386
The Boys,8.7,,143771
Midsommar,7.1,,151262
Little Women,7.9,,102449
Hustlers,6.3,,67448
NOS4A2,6.7,,5433
The Wretched,5.8,,1962
Sex Education,8.3,,131773
Code 8,6.1,48        ,25767
Jumanji: The Next Level,6.7,58        ,143909
The Assistant,5.9,,3519
Uncut Gems,7.5,,161701
The Lighthouse,7.6,,101513
Batwoman,3.5,,25620
Harley Quinn,8.4,,6667
Ford v Ferrari,8.1,,213079
The Irishman,7.9,,287776
Brassic,8.2,,2571
The Morning Show,8.4,,33788
6 Underground,6.1,41        ,119950
It Chapter Two,6.6,58        ,175842
The Lion King,6.9,55        ,189853
Bombshell,6.8,,58098
Hanna,7.5,,17947
Portrait of a Lady on Fire,8.2,,36754
Ramy,8.0,,4885
Euphoria,8.3,,40533
Frozen II,6.9,,107725
Doctor Sleep,7.4,59        ,101530
Spider-Man: Far from Home,7.5,,288924
Angel Has Fallen,6.4,45        ,66000
Aladdin,7.0,53        ,204818
The Umbrella Academy,7.9,,98777
Prodigal Son,7.7,,8400
Booksmart,7.2,,76252
Yesterday,6.8,55        ,94898
Captain Marvel,6.9,,410791
The Reliant,3.6,,1057
"Roswell, New Mexico",6.1,,7638
Marriage Story,8.0,,211012
Guns Akimbo,6.3,42        ,21164
Unbelievable,8.4,,56675
Sea Fever,5.7,60        ,3260
Watchmen,8.1,,67181
Cats,2.7,,32612
Fast & Furious Presents: Hobbs & Shaw,6.5,60        ,148522
John Wick: Chapter 3 - Parabellum,7.5,,244525
Men in Black: International,5.7,,97183
After,5.4,,27442
The King,7.2,,72555
The Art of Racing in the Rain,7.5,43        ,18225
Charlie's Angels,4.6,52        ,40356
Rocketman,7.3,,112129
Zombieland: Double Tap,6.8,55        ,107994
Toy Story 4,7.8,,178379
Creepshow,7.1,,2626
ZeroZeroZero,8.2,,6848
His Dark Materials,7.9,,34006
Ad Astra,6.6,,163201
Ready or Not,6.8,,78019
Rambo: Last Blood,6.2,,67491
Midway,6.7,47        ,44983
Alita: Battle Angel,7.3,53        ,205601
I See You,6.7,,10186
The Politician,7.5,,12513
World on Fire,7.2,,2887
Good Boys,6.7,60        ,49140
Terminator: Dark Fate,6.3,54        ,119052
Kingdom,8.4,,22596
Carnival Row,7.9,,38109
Greed,5.7,52        ,1936
See,7.6,,32909
X-Men: Dark Phoenix,5.8,43        ,137790
Just Mercy,7.5,,25037
Virgin River,7.5,,8895
When They See Us,8.9,,71891
21 Bridges,6.6,51        ,28613
All Rise,6.6,,2399
Cinayet Süsü,6.8,,8540
Stuber,6.1,42        ,33180
A Beautiful Day in the Neighborhood,7.3,,40807
Triple Frontier,6.4,,96853
El Camino: A Breaking Bad Movie,7.4,,162614
Us,6.9,,198256
Richard Jewell,7.5,,38258
El Dragón: Return of a Warrior,7.0,,1005
Ip Man 4: The Finale,7.1,,15738
Radioactive,5.9,53        ,806
A Rainy Day in New York,6.6,48        ,20089
Stumptown,7.5,,6560
Spies in Disguise,6.8,54        ,22464
Vivarium,5.8,,17107
Crash Landing on You,8.9,,5118
The Peanut Butter Falcon,7.6,,41171
Shazam!,7.1,,229486
Color Out of Space,6.2,,17853
Good Omens,8.1,,49605
7 Kogustaki Mucize,8.3,,24149
Doom Patrol,8.0,,24696
True History of the Kelly Gang,6.1,,3355
Servant,7.6,,11924
Jay and Silent Bob Reboot,5.8,46        ,14630
The Goldfinch,6.2,40        ,11055
Dora and the Lost City of Gold,6.0,,18315
Baptiste,7.2,,3534
Anna,6.6,40        ,48106
Ema,6.8,,2633
Dark Waters,7.6,,35173
The Lift Boy,7.3,,1168
Long Shot,6.8,,81593
The Society,7.0,,15349
Fighting with My Family,7.1,,58307
War of the Worlds,6.2,,5041
Blow the Man Down,6.4,,3520
Maleficent: Mistress of Evil,6.6,43        ,65326
"Love, Death & Robots",8.5,,82915
Modern Love,8.0,,13161
Downton Abbey,7.4,,31662
Godzilla: King of the Monsters,6.1,48        ,119167
Brightburn,6.1,44        ,69716
Four More Shots Please,4.5,,5794
Honey Boy,7.3,,17618
The Act,8.0,,16009
Get In,5.8,,1006
Glass,6.7,43        ,190823
The Last Full Measure,6.6,52        ,3667
Emergence,7.2,,4888
Five Feet Apart,7.2,53        ,34034
Demon Slayer: Kimetsu No Yaiba,8.8,,12281
Nancy Drew,6.0,,3596
Polar,6.3,,68093
Gemini Man,5.7,,63541
"Extremely Wicked, Shockingly Evil and Vile",6.6,52        ,68834
The Trial,7.0,,1010
Fractured,6.4,,44582
A Hidden Life,7.4,,11737
Sanditon,7.8,,4887
Motherless Brooklyn,6.8,60        ,28879
Ma,5.6,53        ,32752
How to Build a Girl,5.3,,433
